Time,DateTimeValue,Temp,TempSP,Comp1,Comp2,RevValve,Fan,Occupancy,Scheduled
11/06/2016 10:56:00 PM,42532.95556,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:41:00 PM,42532.94514,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:26:00 PM,42532.93472,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:11:00 PM,42532.92431,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:56:00 PM,42532.91389,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:41:00 PM,42532.90347,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:26:00 PM,42532.89306,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:11:00 PM,42532.88264,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:56:00 PM,42532.87222,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:41:00 PM,42532.86181,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:26:00 PM,42532.85139,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:11:00 PM,42532.84097,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:56:00 PM,42532.83056,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:41:00 PM,42532.82014,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:26:00 PM,42532.80972,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:11:00 PM,42532.79931,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:56:00 PM,42532.78889,22.3,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:41:00 PM,42532.77847,22.3,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:26:00 PM,42532.76806,22.4,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:11:00 PM,42532.75764,22.4,23,Off,Off,Off,Off,0,FALSE
11/06/2016 5:56:00 PM,42532.74722,22.4,23,Off,Off,Off,Off,0,FALSE
11/06/2016 5:41:00 PM,42532.73681,22.5,23,Off,Off,Off,Off,0,FALSE
11/06/2016 5:26:00 PM,42532.72639,22.6,23,Off,Off,Off,Off,0,FALSE
11/06/2016 5:11:00 PM,42532.71597,22.6,23,Off,Off,Off,Off,0,FALSE
11/06/2016 4:56:00 PM,42532.70556,22.7,23,Off,Off,Off,Off,0,FALSE
11/06/2016 4:41:00 PM,42532.69514,22.7,23,Off,Off,Off,Off,0,FALSE
11/06/2016 4:26:00 PM,42532.68472,22.8,23,Off,Off,Off,Off,0,FALSE
11/06/2016 4:11:00 PM,42532.67431,22.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 3:56:00 PM,42532.66389,22.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 3:41:00 PM,42532.65347,23,23,Off,Off,Off,Off,0,FALSE
11/06/2016 3:26:00 PM,42532.64306,23.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 3:11:00 PM,42532.63264,23.4,23,Off,Off,Off,Off,0,FALSE
11/06/2016 2:56:00 PM,42532.62222,23.5,23,Off,Off,Off,Off,0,FALSE
11/06/2016 2:41:00 PM,42532.61181,23.6,23,Off,Off,Off,Off,0,FALSE
11/06/2016 2:26:00 PM,42532.60139,23.7,23,Off,Off,Off,Off,0,FALSE
11/06/2016 2:11:00 PM,42532.59097,23.3,23,Off,Off,Off,Off,0,FALSE
11/06/2016 1:56:00 PM,42532.58056,22.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 1:41:00 PM,42532.57014,22.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 1:26:00 PM,42532.55972,22.7,23,Off,Off,Off,Off,0,FALSE
11/06/2016 1:11:00 PM,42532.54931,22.3,23,Off,Off,Off,Off,0,FALSE
11/06/2016 12:56:00 PM,42532.53889,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 12:41:00 PM,42532.52847,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 12:26:00 PM,42532.51806,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 12:11:00 PM,42532.50764,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:56:00 AM,42532.49722,22.2,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:41:00 AM,42532.48681,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:26:00 AM,42532.47639,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:11:00 AM,42532.46597,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:56:00 AM,42532.45556,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:41:00 AM,42532.44514,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:26:00 AM,42532.43472,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 10:11:00 AM,42532.42431,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:56:00 AM,42532.41389,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:41:00 AM,42532.40347,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 9:26:00 AM,42532.39306,21.9,23,Off,Off,Off,Off,0,FALSE
